PD Grade,Seniority,LT Seniority,Employee Level,CPH_1,CPH_2,CPH_3,CPH_4,CPH_5
SM1,Yes,No,10,Consulting Position,SMAP,SM,SM - 1Y,SM1
SM2,Yes,No,10,Consulting Position,SMAP,SM,SM - 1Y,SM2
SM3,Yes,No,10,Consulting Position,SMAP,SM,SM - 2Y+,SM3
T1,No,No,4,Other,Other,Other,Other,Other
T2,No,No,2,Other,Other,Other,Other,Other
T3,No,No,6,Other,Other,Other,Other,Other
T4,No,No,8,Other,Other,Other,Other,Other
T5,No,No,8,Other,Other,Other,Other,Other
TD1,No,No,1,Other,Other,Other,Other,Other
TD10,Yes,No,10,Other,Other,Other,Other,Other
TD11,Yes,No,11,Other,Other,Other,Other,Other
TD12,Yes,Vice President,12,Other,Other,Other,Other,Other
TD14,Yes,Expert Partner / Executive VP,14,Other,Other,Other,Other,Other
TD6,No,No,6,Other,Other,Other,Other,Other
TD8,No,No,8,Other,Other,Other,Other,Other
TD9,No,No,9,Other,Other,Other,Other,Other
TE10,Yes,No,10,Other,Other,Other,Other,Other
TE11,Yes,No,11,Other,Other,Other,Other,Other
TE12,Yes,Vice President,12,Other,Other,Other,Other,Other
TE14,Yes,Expert Partner / Executive VP,14,Other,Other,Other,Other,Other
TE6,No,No,6,Other,Other,Other,Other,Other
TE8,No,No,8,Other,Other,Other,Other,Other
TE9,No,No,9,Other,Other,Other,Other,Other
TG1,No,No,1,Other,Other,Other,Other,Other
TG10,Yes,No,10,Other,Other,Other,Other,Other
TG11,Yes,No,11,Other,Other,Other,Other,Other
TG12,Yes,Vice President,12,Other,Other,Other,Other,Other
TG14,Yes,Expert Partner / Executive VP,14,Other,Other,Other,Other,Other
TG4,No,No,4,Other,Other,Other,Other,Other
TG6,No,No,6,Other,Other,Other,Other,Other
TG8,No,No,8,Other,Other,Other,Other,Other
TG9,No,No,9,Other,Other,Other,Other,Other
TT1,No,No,1,Other,Other,Other,Other,Other
TT10,Yes,No,10,Other,Other,Other,Other,Other
TT11,Yes,No,11,Other,Other,Other,Other,Other
TT12,Yes,Vice President,12,Other,Other,Other,Other,Other
